1	luis	01.01.2014	Toner_156	4
3	tom	01.01.2014	Toner_160	3
4	marie	01.01.2014	Toner_259	1
5	alexander	02.01.2014	Toner_275	10
6	paul	02.01.2014	A0	2
7	elias	03.01.2014	Briefumschlaege	8
9	charlotte	03.01.2014	Toner_146	1
10	amelie	03.01.2014	Toner_350	15
11	sarah	03.01.2014	Toner_198	5
12	leonie	04.01.2014	A2	7
13	tom	05.01.2014	Toner_135	14
14	nele	07.01.2014	Toner_120	1
15	elias	07.01.2014	Toner_216	20
16	marie	08.01.2014	Toner_216	4
17	nele	09.01.2014	Toner_342	10
18	clara	10.01.2014	Toner_329	2
19	sarah	11.01.2014	Toner_123	2
20	max	13.01.2014	A4	6
21	david	15.01.2014	Toner_329	2
22	leonie	16.01.2014	Toner_246	4
23	julian	17.01.2014	Toner_198	10
24	emilia	17.01.2014	Toner_324	6
25	nele	19.01.2014	Toner_104	9
26	lilly	20.01.2014	Toner_120	8
27	marie	21.01.2014	A1	11
28	niklas	22.01.2014	Toner_188	2
29	felix	22.01.2014	Toner_342	7
30	hanna	22.01.2014	Toner_188	13
31	henry	24.01.2014	Toner_350	6
32	lukas	24.01.2014	Toner_233	17
33	lea	26.01.2014	Toner_272	1
34	luisa	28.01.2014	Toner_273	3
35	jakob	28.01.2014	Toner_123	15
36	sophie	28.01.2014	Toner_233	13
37	lilly	28.01.2014	Toner_156	3
38	luca	29.01.2014	Toner_160	6
39	henry	30.01.2014	Toner_104	16
40	lara	31.01.2014	A4	19
41	hanna	01.02.2014	Toner_176	13
42	amelie	01.02.2014	Toner_176	5
43	maximilian	02.02.2014	Toner_216	9
44	johanna	02.02.2014	Toner_246	4
45	nele	02.02.2014	Toner_257	12
46	jakob	02.02.2014	Toner_216	13
47	tim	03.02.2014	Toner_153	2
48	johanna	05.02.2014	Toner_233	10
49	marie	05.02.2014	Toner_176	7
50	leonie	06.02.2014	Toner_229	4
51	niklas	07.02.2014	Toner_123	5
52	jonas	07.02.2014	Toner_123	9
53	anna	08.02.2014	Toner_272	1
54	emilie	09.02.2014	Toner_159	6
55	lara	10.02.2014	Toner_235	10
56	philipp	11.02.2014	Toner_135	6
57	jakob	13.02.2014	Toner_120	3
58	elias	13.02.2014	Toner_155	8
59	tom	14.02.2014	Toner_342	3
60	emilia	14.02.2014	Toner_160	2
61	maximilian	15.02.2014	Toner_342	9
62	johanna	15.02.2014	Toner_112	6
63	maximilian	15.02.2014	Toner_273	10
64	mia	15.02.2014	A0	2
65	sophie	17.02.2014	Briefumschlaege	15
66	jan	20.02.2014	Toner_146	11
67	lina	22.02.2014	Toner_123	16
68	sophie	22.02.2014	Toner_153	4
69	luisa	22.02.2014	Toner_123	12
70	jan	22.02.2014	Toner_156	2
71	sophie	22.02.2014	Toner_235	11
72	lilly	24.02.2014	Toner_329	8
73	lea	24.02.2014	Toner_235	10
74	jan	24.02.2014	Toner_198	15
75	maja	25.02.2014	Toner_104	3
76	max	26.02.2014	Toner_176	3
77	leon	27.02.2014	Toner_198	1
78	jan	27.02.2014	A2	7
79	lea	28.02.2014	Toner_259	6
80	lukas	28.02.2014	A4	4
81	mia	01.03.2014	Toner_233	4
82	jan	02.03.2014	Toner_155	2
83	clara	04.03.2014	Toner_282	12
84	leon	05.03.2014	Toner_159	14
85	amelie	05.03.2014	Toner_329	4
