A0	5
A1	4
A2	4
A3	3
A4	2
Briefumschlaege	1
Toner_104	39
Toner_112	45
Toner_120	17
Toner_123	44
Toner_135	27
Toner_146	22
Toner_153	28
Toner_155	17
Toner_156	22
Toner_159	47
Toner_160	45
Toner_162	29
Toner_176	24
Toner_188	38
Toner_198	29
Toner_210	35
Toner_216	41
Toner_229	28
Toner_233	28
Toner_235	17
Toner_246	27
Toner_257	41
Toner_259	48
Toner_272	39
Toner_273	18
Toner_275	20
Toner_282	47
Toner_295	19
Toner_309	49
Toner_324	39
Toner_329	45
Toner_342	37
Toner_350	35
Toner_353	36
